4	2026-09-10T22:30:05.131361924+0100	1014	32	962	1	1
6	2026-09-10T22:30:05.131808283+0100	545	32	493	1	963
11	2026-09-10T22:30:05.150144913+0100	831	32	779	963	494
12	2026-09-10T22:30:05.152231051+0100	32820	32	32768	494	1742
13	2026-09-10T22:30:05.152280213+0100	32820	32	32768	33262	1742
15	2026-09-10T22:30:05.152454256+0100	61492	32	61440	66030	1742
17	2026-09-10T22:30:05.159473196+0100	33844	32	33792	127470	1742
19	2026-09-10T22:30:05.160004946+0100	47668	32	47616	161262	1742
20	2026-09-10T22:30:05.160022256+0100	21044	32	20992	208878	1742
22	2026-09-10T22:30:05.160206134+0100	65535	32	65483	229870	1742
23	2026-09-10T22:30:05.160219323+0100	32873	32	32821	295353	1742
24	2026-09-10T22:30:05.160232562+0100	65535	32	65483	328174	1742
25	2026-09-10T22:30:05.160234974+0100	105	32	53	393657	1742
27	2026-09-10T22:30:05.161894413+0100	65535	32	65483	393710	1742
28	2026-09-10T22:30:05.161906884+0100	32873	32	32821	459193	1742
31	2026-09-10T22:30:05.163346762+0100	65535	32	65483	492014	1742
32	2026-09-10T22:30:05.163394036+0100	65535	32	65483	557497	1742
33	2026-09-10T22:30:05.163410397+0100	32926	32	32874	622980	1742
35	2026-09-10T22:30:05.164894857+0100	65535	32	65483	655854	1742
36	2026-09-10T22:30:05.164913687+0100	32873	32	32821	721337	1742
37	2026-09-10T22:30:05.164930518+0100	65535	32	65483	754158	1742
38	2026-09-10T22:30:05.164932449+0100	105	32	53	819641	1742
41	2026-09-10T22:30:05.167433236+0100	65535	32	65483	819694	1742
42	2026-09-10T22:30:05.167452007+0100	65535	32	65483	885177	1742
43	2026-09-10T22:30:05.167461585+0100	32926	32	32874	950660	1742
45	2026-09-10T22:30:05.167933924+0100	65535	32	65483	983534	1742
46	2026-09-10T22:30:05.167945859+0100	32873	32	32821	1049017	1742
47	2026-09-10T22:30:05.167967920+0100	65535	32	65483	1081838	1742
48	2026-09-10T22:30:05.167969774+0100	105	32	53	1147321	1742
50	2026-09-10T22:30:05.169329510+0100	65535	32	65483	1147374	1742
51	2026-09-10T22:30:05.169341295+0100	32873	32	32821	1212857	1742
54	2026-09-10T22:30:05.170627690+0100	65535	32	65483	1245678	1742
55	2026-09-10T22:30:05.170648703+0100	65535	32	65483	1311161	1742
56	2026-09-10T22:30:05.170655668+0100	15233	32	15181	1376644	1742
58	2026-09-10T22:30:06.877519133+0100	1014	32	962	1742	1391825
59	2026-09-10T22:30:06.877868998+0100	544	32	492	1391825	2704
