===== evidence/http_allowed.pcapng =====
1	0.000000000	192.168.60.11	51592	192.168.60.1	80	0x0002			
2	0.000035780	192.168.60.1	80	192.168.60.11	51592	0x0012			
4	0.000114415	192.168.60.11	51592	192.168.60.1	80	0x0018		/firewall_lab.html	
6	0.000611160	192.168.60.1	80	192.168.60.11	51592	0x0018		/firewall_lab.html	200
===== evidence/http_blocked.pcapng =====
1	0.000000000	192.168.60.12	34364	192.168.60.1	80	0x0002			
2	1.023049201	192.168.60.12	34364	192.168.60.1	80	0x0002	1		
3	2.047113624	192.168.60.12	34364	192.168.60.1	80	0x0002	1		
4	3.075084980	192.168.60.12	34364	192.168.60.1	80	0x0002	1		
5	4.095098004	192.168.60.12	34364	192.168.60.1	80	0x0002	1		
6	5.123043625	192.168.60.12	34364	192.168.60.1	80	0x0002	1		
7	7.135129922	192.168.60.12	34364	192.168.60.1	80	0x0002	1		
