1790109189.377510017	github.com	140.82.121.3
1790109189.378061881	github.com	140.82.121.3
1790109189.378062003	github.com	140.82.121.3
1790109189.423185490	github.githubassets.com	185.199.109.215,185.199.111.215,185.199.110.215,185.199.108.215
1790109189.595729669	nav-edge.smartscreen.microsoft.com	48.209.164.47
1790109191.997589934	self.events.data.microsoft.com	20.42.65.93
1790109192.778746861	github.com	140.82.121.3
1790109192.779620630	github.com	140.82.121.3
1790109193.753957250	avatars.githubusercontent.com	185.199.111.133,185.199.108.133,185.199.110.133,185.199.109.133
1790109193.753957534	user-images.githubusercontent.com	185.199.110.133,185.199.109.133,185.199.108.133,185.199.111.133
1790109194.715041654	github-cloud.s3.amazonaws.com	16.15.213.171,16.15.191.148,52.217.116.73,52.216.54.49,16.182.104.57,16.15.245.21,16.182.96.105,16.182.71.185
1790109194.715041922	github-cloud.s3.amazonaws.com	16.15.213.171,16.15.191.148,52.217.116.73,52.216.54.49,16.182.104.57,16.15.245.21,16.182.96.105,16.182.71.185
1790109201.865655088	alive.github.com	140.82.112.25
1790109204.836057192	collector.github.com	140.82.114.22
1790109204.841478359	api.github.com	140.82.121.6
1790109209.364442539	portal.nelf.gov.ng	108.133.71.182,52.50.219.66,108.132.173.238
1790109209.364442977	portal.nelf.gov.ng	108.133.71.182,52.50.219.66,108.132.173.238
1790109209.364443016	portal.nelf.gov.ng	108.133.71.182,52.50.219.66,108.132.173.238
1790109222.838933086	assets-proxy.anthropic.com	160.79.104.10
1790109224.634534748	www.bing.com	23.196.227.235,23.196.227.231,23.196.227.236,23.196.227.227,23.196.227.239,23.196.227.229,23.196.227.237,23.196.227.238,23.196.227.228
