2	1789163240.512346855	127.0.0.1	80	127.0.0.1	10329	1
5	1789163240.512815819	127.0.0.1	80	127.0.0.1	50105	1
8	1789163240.513238465	127.0.0.1	80	127.0.0.1	60448	1
11	1789163240.513618240	127.0.0.1	80	127.0.0.1	18404	1
14	1789163250.028251350	127.0.0.1	80	127.0.0.1	12171	1
17	1789163250.028643737	127.0.0.1	80	127.0.0.1	50277	1
20	1789163250.029011845	127.0.0.1	80	127.0.0.1	7680	1
