2	1789163240.512346855	127.0.0.1	80	127.0.0.1	10329	0x0012
3	1789163240.512353826	127.0.0.1	10329	127.0.0.1	80	0x0004
5	1789163240.512815819	127.0.0.1	80	127.0.0.1	50105	0x0012
6	1789163240.512820060	127.0.0.1	50105	127.0.0.1	80	0x0004
8	1789163240.513238465	127.0.0.1	80	127.0.0.1	60448	0x0012
9	1789163240.513242260	127.0.0.1	60448	127.0.0.1	80	0x0004
11	1789163240.513618240	127.0.0.1	80	127.0.0.1	18404	0x0012
12	1789163240.513621962	127.0.0.1	18404	127.0.0.1	80	0x0004
14	1789163250.028251350	127.0.0.1	80	127.0.0.1	12171	0x0012
15	1789163250.028257746	127.0.0.1	12171	127.0.0.1	80	0x0004
17	1789163250.028643737	127.0.0.1	80	127.0.0.1	50277	0x0012
18	1789163250.028647650	127.0.0.1	50277	127.0.0.1	80	0x0004
20	1789163250.029011845	127.0.0.1	80	127.0.0.1	7680	0x0012
