1	2026-09-11T22:41:05.361031906+0100	127.0.0.1	53938	127.0.0.1	80	0x0002
2	2026-09-11T22:41:05.361048521+0100	127.0.0.1	80	127.0.0.1	53938	0x0012
8	2026-09-11T22:41:05.363032884+0100	127.0.0.1	53938	127.0.0.1	80	0x0011
9	2026-09-11T22:41:05.363124824+0100	127.0.0.1	80	127.0.0.1	53938	0x0011
